Round #,Conc (mg/mL),Speed (rpm),Volume (µL),T (%),R (ohm/sq)
1,1.25,5000,80,79,55
,2,3000,20,82,61
,1,4000,40,85,187
,1.25,3000,40,81,238
,1.75,4500,60,77,40
,1.5,3000,80,81,50
,1.5,4000,40,84,512
,1.5,3000,20,85,28300
,2,5000,80,73,26
,1.75,3000,20,84,670
,1.5,3500,20,87,8070
,1,4000,60,84,147
,2,5000,40,83,71
,1,4500,60,83,227
,1,3500,20,86,2040
,1.75,4500,60,74,38
,1.5,3500,80,82,61
,1.75,3500,20,81,186
,2,4000,20,83,84
,2,4000,60,79,40
,1.25,4000,40,82,298
,1.75,4500,60,76,50
,1.25,5000,80,77,50
,1,3500,40,85,434
,1.75,4500,40,80,108
,1.25,5000,40,83,900
,1,5000,60,83,250
,1.25,4500,80,76,60
,2,3000,60,75,22
,1.5,3500,80,81,54
,1.5,3000,80,82,68
,1.5,3000,80,82,56
,2,3000,20,82,48
,2,3000,20,82,50
,1.75,4500,60,77,29
,1.75,4500,60,77,35
2,1.5,2000,20,86,137000
,1.5,2000,80,84,91
,3,2000,20,76,19
,3,2000,80,61,9
,3,5000,20,79,46
,3,5000,80,59,11
,1,2000,70,84,1290
,1,2000,70,83,992
,1,2000,70,85,1370
,1,2500,70,84,2120
,1,2500,70,83,1590
,1,2500,70,85,1420
,1,2500,75,84,1690
,1,2500,75,83,1260
,1,2500,75,85,576
3,3,2000,20,78,16
,3,2000,20,77,20
,3,2000,40,64,9
,3,2000,40,69,13
,3,1000,20,73,14
,3,1000,20,72,15
,3,1000,40,67,11
,3,1000,40,70,11
,3,1000,80,64,9
,3,1000,80,65,10
,2,1000,20,80,36
,2,1000,20,83,44
,2,1000,40,79,24
,2,1000,40,79,28
,2,1000,80,74,21
,2,1000,80,71,17
4,2.4,1000,30,77,16
,2.4,1500,30,79,19
,2.4,1000,35,76,16
,2.4,2000,30,78,18
,2.4,1500,35,76,18
,2.4,1000,40,74,14
,2.4,2000,35,73,17
,2.4,1500,40,78,19
,2.4,2500,30,79,23
,2.4,1500,30,77,18
,2.4,1500,30,77,25
,2.8,1000,30,74.8,17.1
,2.8,1000,30,75.7,24.9
,2.8,1000,30,75.7,21.5
,2.6,800,25,74,16
,2.6,800,25,74.6,19
,2.6,800,25,74.2,15.2
,2.6,1300,30,75.3,23.8
,2.6,1300,30,77,20.6
,2.6,1300,30,77.2,21.4
,2.5,800,30,73.4,17
,2.5,800,30,74.4,17.1
,2.5,800,30,77.8,20.1
,2.5,800,50,71,14.8
,2.5,800,50,71.5,12.6
,2.5,800,50,71.8,10.8
,2.5,1000,25,74.6,16.3
,2.5,1000,25,74.1,20.7
,2.5,1000,25,74,15.4
,2.5,1000,30,73.2,15.2
,2.5,1000,30,74.5,17.8
,2.5,1000,30,74,15.4
,2.5,1000,50,70.6,14.5
,2.5,1000,50,75.2,22.2
,2.5,1000,50,71.7,15.2
,2.3,800,30,78.4,19.7
,2.3,800,30,78.3,21.8
,2.3,800,30,79.2,30.8